id,id_sub,is_directive
1004,2,2
1004,3,1
1004,4,2
1004,5,2
1005,2,2
1009,1,2
1009,3,1
1012,3,1
1012,5,1
1015,1,0
1015,5,1
1016,2,0
1034,3,1
1036,3,2
1037,3,2
1038,3,2
1039,3,2
1040,2,1
1043,1,2
1044,3,2
1044,5,1
1047,1,2
1048,1,0
1058,2,1
1059,2,2
1060,3,1
1060,4,1
1062,2,1
1063,2,2
1067,2,1
1067,3,1
1068,3,1
1069,2,1
1077,2,2
1078,2,2
1079,2,1
1079,3,1
1081,2,1
1082,2,0
1083,2,1
1083,4,1
1084,1,0
1084,2,0
1088,4,2
1093,1,0
1094,2,2
1108,2,2
1110,2,2
1110,3,2
1111,2,2
1111,3,2
1111,4,0
1112,2,1
1113,2,2
1114,2,2
1115,2,2
1116,2,2
1118,2,2
1119,2,2
1120,2,2
1122,2,2
1123,2,2
1124,2,1
1124,3,1
1129,2,2
1129,3,2
1130,2,1
1130,3,1
1131,2,1
1132,2,1
1142,3,1
1144,1,0
1153,2,1
1154,2,1
1155,1,0
1155,2,1
1156,2,1
1158,2,2
1158,3,1
1161,2,2
1165,2,2
1171,2,2
1171,3,1
1183,5,2
122,1,1
1222,2,2
123,1,1
123,2,1
1235,2,1
1241,3,0
1248,5,2
1257,6,1
1258,2,2
1262,2,0
1273,1,0
1277,2,1
1277,3,1
1280,1,2
1280,2,2
1281,1,2
1286,3,1
1308,4,1
1313,3,1
1317,2,1
1320,1,2
1321,2,2
1322,1,0
1322,2,1
1322,4,1
1323,2,1
1323,3,1
1328,2,2
1330,2,2
1330,4,1
1347,2,1
1350,1,0
1360,2,0
1362,2,1
1364,3,0
1369,6,1
1371,2,2
1372,2,2
1377,2,1
1382,2,1
1383,3,1
1384,2,2
1385,2,1
1386,2,1
1389,3,1
1392,2,1
1392,4,2
1400,2,1
1401,2,1
1402,2,1
1405,2,1
1405,3,2
1413,2,2
1416,1,0
1416,2,1
1416,6,0
1416,7,0
1416,8,0
1420,2,2
1425,3,1
1432,3,2
1444,1,0
1444,2,1
1447,2,1
1448,2,2
1453,1,0
1453,2,0
1455,2,1
1456,2,2
1458,1,0
1459,2,1
1462,6,2
1462,7,2
1463,6,2
1465,1,0
1466,1,0
1470,2,0
1471,1,0
1477,5,0
1478,5,0
1478,6,1
1478,7,1
1478,8,1
1479,3,1
1479,11,2
1479,12,0
1479,13,0
1479,14,1
1479,15,1
1479,16,2
1482,2,2
1482,3,1
1482,4,2
1483,2,2
1484,2,2
1485,2,2
1486,1,0
1486,2,2
1487,2,2
1488,2,2
1489,2,2
1490,2,2
1491,2,2
1492,2,2
1493,2,2
1494,2,2
1496,1,0
1496,2,0
1497,2,1
1497,3,1
1498,2,2
1499,2,1
1499,3,2
1499,4,1
1500,2,1
1500,3,2
1500,4,1
1501,2,1
1501,3,2
1501,4,1
1502,2,1
1502,3,2
1502,4,1
1503,2,1
1503,3,2
1503,4,1
1504,2,1
1504,3,2
1504,4,1
1505,2,1
1505,3,2
1506,2,2
1506,3,2
1506,4,1
1507,2,2
1507,3,2
1507,4,1
151,3,1
1510,2,2
1510,3,2
1510,4,1
1511,2,2
1511,3,2
1511,4,1
1539,4,2
1540,5,2
1545,3,2
1546,6,2
1553,2,1
1561,2,1
1562,2,1
1564,2,1
1565,2,1
157,2,2
157,3,2
1575,4,2
1575,5,2
1576,3,1
1577,4,1
1578,2,2
1578,3,2
1579,2,1
1581,4,1
1589,3,2
1589,4,2
1590,2,1
1591,2,0
1592,2,1
1592,3,2
1594,2,1
1596,2,0
1596,4,1
1597,2,2
1597,4,1
1598,3,1
1601,2,2
1601,4,1
1604,2,1
1606,4,0
1607,4,0
1609,2,1
1609,3,2
1609,4,2
1609,5,2
1610,2,1
1611,1,2
1611,2,2
1612,2,2
1613,4,2
1613,5,2
1613,6,2
1613,7,1
1614,2,1
1615,2,1
1616,2,1
1616,3,1
1617,2,1
1618,1,0
1618,2,1
1619,2,1
1620,2,1
1627,2,1
1630,1,1
